Entry ID,[Str. Pos.],[Str. Size],[Str. Encoding],Str. Value,[Str. Data]
1754,0x2b8a10,9,Shift_JIS,間接攻撃,"""\x8A\xD4\x90\xDA\x8DU\x8C\x82"""
1755,0x2b8a1c,5,Shift_JIS,気合,"""\x8BC\x8D\x87"""
1756,0x2b8a24,5,Shift_JIS,逃走,"""\x93\xA6\x91\x96"""
1757,0x2b8a2c,13,Shift_JIS,直接攻撃反撃,"""\x92\xBC\x90\xDA\x8DU\x8C\x82\x94\xBD\x8C\x82"""
1758,0x2b8a3c,13,Shift_JIS,間接攻撃反撃,"""\x8A\xD4\x90\xDA\x8DU\x8C\x82\x94\xBD\x8C\x82"""
1759,0x2b8a4c,9,Shift_JIS,Ж術失敗,"""\x84G\x8Fp\x8E\xB8\x94s"""
1760,0x2b8a58,7,Shift_JIS,技失敗,"""\x8BZ\x8E\xB8\x94s"""
1761,0x2b8a78,44,Shift_JIS,Memory Allocate Error(bGetModelPolygonData),"""Memory Allocate Error(bGetModelPolygonData)"""
1762,0x2b8aa4,11,Shift_JIS,0123456789,"""0123456789"""
1763,0x2b8aaf,7,Shift_JIS,abgABG,"""abgABG"""
1764,0x2b8ab8,13,Shift_JIS,E99%02d%02d0,"""E99%02d%02d0"""
1765,0x2b8acc,14,Shift_JIS,E99%02d%02d%d,"""E99%02d%02d%d"""
1766,0x2b8adc,12,Shift_JIS,E99%02d00%d,"""E99%02d00%d"""
1767,0x2b8b84,11,Shift_JIS,反射エラー,"""\x94\xBD\x8E\xCB\x83G\x83\x89\x81["""
1768,0x2b8b94,14,Shift_JIS,s%02d%02d.mld,"""s%02d%02d.mld"""
1769,0x2b8ba4,14,Shift_JIS,s%03d%02d.mld,"""s%03d%02d.mld"""
1770,0x2b8bb4,9,Shift_JIS,\\battle\\,"""\\battle\\"""
1771,0x2b8bc0,10,Shift_JIS,s%03d.sml,"""s%03d.sml"""
1772,0x2b8bcc,3,Shift_JIS,rb,"""rb"""
1773,0x2b8bd0,10,Shift_JIS,s%03d.sst,"""s%03d.sst"""
1774,0x2b8be8,12,Shift_JIS,stsicon.mld,"""stsicon.mld"""
1775,0x2b8bf4,5,Shift_JIS,NJCM,"""NJCM"""
1776,0x2b8bfc,10,Shift_JIS,\\ares.mlt,"""\\ares.mlt"""
1777,0x2b8c08,15,Shift_JIS,\\sound\\m58.msb,"""\\sound\\m58.msb"""
1778,0x2b8c18,15,Shift_JIS,\\sound\\m58.mpb,"""\\sound\\m58.mpb"""
1779,0x2b8c28,15,Shift_JIS,\\sound\\m60.msb,"""\\sound\\m60.msb"""
1780,0x2b8c38,15,Shift_JIS,\\sound\\m60.mpb,"""\\sound\\m60.mpb"""
1781,0x2b8c4c,3,Shift_JIS,Ｅ,"""\x82d"""
1782,0x2b8c50,4,Shift_JIS,%2d,"""%2d"""
1783,0x2b8c54,10,Shift_JIS,icon3%02d,"""icon3%02d"""
1784,0x2b8c60,9,Shift_JIS,\\battle\\,"""\\battle\\"""
1785,0x2b8c6c,12,Shift_JIS,stsicon.mld,"""stsicon.mld"""
1786,0x2b8c7c,3,Shift_JIS,%d,"""%d"""
